Institution code (UKPRN),Institution name,Institution sort order,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Profile,FTE Category A staff submitted,4*,3*,2*,1*,unclassified,Area,Post92
10007802,University of Reading,1510,D,28,Modern Languages and Linguistics, ,,,Environment,21.71,10,50,40,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,28,Modern Languages and Linguistics, ,,,Overall,21.71,27,44,27,2,0,SEAS,FALSE
10007802,University of Reading,1510,D,29,English Language and Literature, ,,,Outputs,27,24.6,50.8,20.2,4.4,0,SEAS,FALSE
10007802,University of Reading,1510,D,29,English Language and Literature, ,,,Impact,27,10,60,30,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,29,English Language and Literature, ,,,Environment,27,40,50,10,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,29,English Language and Literature, ,,,Overall,27,24,53,20,3,0,SEAS,FALSE
10007802,University of Reading,1510,D,30,History, ,,,Outputs,16.2,24.6,52.3,23.1,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,30,History, ,,,Impact,16.2,13.3,73.4,13.3,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,30,History, ,,,Environment,16.2,10,60,30,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,30,History, ,,,Overall,16.2,20,58,22,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,31,Classics, ,,,Outputs,12.5,37.3,45.1,13.7,3.9,0,SEAS,FALSE
10007802,University of Reading,1510,D,31,Classics, ,,,Impact,12.5,30,70,0,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,31,Classics, ,,,Environment,12.5,20,60,20,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,31,Classics, ,,,Overall,12.5,33,53,11,3,0,SEAS,FALSE
10007802,University of Reading,1510,D,32,Philosophy, ,,,Outputs,11.2,23.5,43.2,29.4,3.9,0,SEAS,FALSE
10007802,University of Reading,1510,D,32,Philosophy, ,,,Impact,11.2,0,20,80,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,32,Philosophy, ,,,Environment,11.2,10,60,30,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,32,Philosophy, ,,,Overall,11.2,17,41,39,3,0,SEAS,FALSE
10007802,University of Reading,1510,D,34,"Art and Design: History, Practice and Theory",A,Art,,Outputs,11.4,18.4,42.8,32.7,6.1,0,SEAS,FALSE
10007802,University of Reading,1510,D,34,"Art and Design: History, Practice and Theory",A,Art,,Impact,11.4,20,50,30,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,34,"Art and Design: History, Practice and Theory",A,Art,,Environment,11.4,20,80,0,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,34,"Art and Design: History, Practice and Theory",A,Art,,Overall,11.4,19,50,27,4,0,SEAS,FALSE
10007802,University of Reading,1510,D,34,"Art and Design: History, Practice and Theory",B,Typography & Graphic communication,,Outputs,8.2,46.2,46.1,7.7,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,34,"Art and Design: History, Practice and Theory",B,Typography & Graphic communication,,Impact,8.2,70,30,0,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,34,"Art and Design: History, Practice and Theory",B,Typography & Graphic communication,,Environment,8.2,80,20,0,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,34,"Art and Design: History, Practice and Theory",B,Typography & Graphic communication,,Overall,8.2,56,39,5,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,10,17.9,59,18,5.1,0,SEAS,FALSE
10007802,University of Reading,1510,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,10,0,70,30,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,10,40,60,0,0,0,SEAS,FALSE
10007802,University of Reading,1510,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,10,18,61,18,3,0,SEAS,FALSE
10007776,Roehampton University,1520,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Outputs,10,21.9,62.5,15.6,0,0,LOND,FALSE
10007776,Roehampton University,1520,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Impact,10,0,60,40,0,0,LOND,FALSE
10007776,Roehampton University,1520,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Environment,10,0,25,75,0,0,LOND,FALSE
10007776,Roehampton University,1520,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,10,14,57,29,0,0,LOND,FALSE
10007776,Roehampton University,1520,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,14.4,10.4,43.8,41.6,4.2,0,LOND,FALSE
10007776,Roehampton University,1520,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Impact,14.4,40,60,0,0,0,LOND,FALSE
10007776,Roehampton University,1520,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Environment,14.4,12.5,50,37.5,0,0,LOND,FALSE
10007776,Roehampton University,1520,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,14.4,17,48,32,3,0,LOND,FALSE
10007776,Roehampton University,1520,C,19,Business and Management Studies, ,,,Outputs,4.8,0,42.1,42.1,15.8,0,LOND,FALSE
10007776,Roehampton University,1520,C,19,Business and Management Studies, ,,,Impact,4.8,0,60,40,0,0,LOND,FALSE
10007776,Roehampton University,1520,C,19,Business and Management Studies, ,,,Environment,4.8,0,0,62.5,37.5,0,LOND,FALSE
10007776,Roehampton University,1520,C,19,Business and Management Studies, ,,,Overall,4.8,0,39,45,16,0,LOND,FALSE
10007776,Roehampton University,1520,C,23,Sociology, ,,,Outputs,11.45,16.3,30.2,41.9,9.3,2.3,LOND,FALSE
10007776,Roehampton University,1520,C,23,Sociology, ,,,Impact,11.45,60,40,0,0,0,LOND,FALSE
10007776,Roehampton University,1520,C,23,Sociology, ,,,Environment,11.45,0,12.5,87.5,0,0,LOND,FALSE
10007776,Roehampton University,1520,C,23,Sociology, ,,,Overall,11.45,23,29,40,7,1,LOND,FALSE
10007776,Roehampton University,1520,C,24,Anthropology and Development Studies, ,,,Outputs,11,16.3,41.8,32.6,7,2.3,LOND,FALSE
10007776,Roehampton University,1520,C,24,Anthropology and Development Studies, ,,,Impact,11,0,60,40,0,0,LOND,FALSE
10007776,Roehampton University,1520,C,24,Anthropology and Development Studies, ,,,Environment,11,0,75,25,0,0,LOND,FALSE
10007776,Roehampton University,1520,C,24,Anthropology and Development Studies, ,,,Overall,11,11,50,33,5,1,LOND,FALSE
10007776,Roehampton University,1520,C,25,Education, ,,,Outputs,14.2,31,48.3,19,1.7,0,LOND,FALSE
10007776,Roehampton University,1520,C,25,Education, ,,,Impact,14.2,0,60,40,0,0,LOND,FALSE
10007776,Roehampton University,1520,C,25,Education, ,,,Environment,14.2,0,50,37.5,12.5,0,LOND,FALSE
10007776,Roehampton University,1520,C,25,Education, ,,,Overall,14.2,20,51,26,3,0,LOND,FALSE
10007776,Roehampton University,1520,D,28,Modern Languages and Linguistics, ,,,Outputs,10.2,7.9,57.9,26.3,7.9,0,LOND,FALSE
10007776,Roehampton University,1520,D,28,Modern Languages and Linguistics, ,,,Impact,10.2,60,20,20,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,28,Modern Languages and Linguistics, ,,,Environment,10.2,0,20,70,10,0,LOND,FALSE
10007776,Roehampton University,1520,D,28,Modern Languages and Linguistics, ,,,Overall,10.2,17,45,31,7,0,LOND,FALSE
10007776,Roehampton University,1520,D,29,English Language and Literature, ,,,Outputs,14.9,33.3,47.4,17.5,1.8,0,LOND,FALSE
10007776,Roehampton University,1520,D,29,English Language and Literature, ,,,Impact,14.9,0,80,20,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,29,English Language and Literature, ,,,Environment,14.9,0,30,60,10,0,LOND,FALSE
10007776,Roehampton University,1520,D,29,English Language and Literature, ,,,Overall,14.9,22,51,24,3,0,LOND,FALSE
10007776,Roehampton University,1520,D,30,History, ,,,Outputs,14,20.8,37.5,37.5,4.2,0,LOND,FALSE
10007776,Roehampton University,1520,D,30,History, ,,,Impact,14,0,100,0,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,30,History, ,,,Environment,14,0,10,90,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,30,History, ,,,Overall,14,14,45,38,3,0,LOND,FALSE
10007776,Roehampton University,1520,D,33,Theology and Religious Studies, ,,,Outputs,6.8,24,28,36,12,0,LOND,FALSE
10007776,Roehampton University,1520,D,33,Theology and Religious Studies, ,,,Impact,6.8,0,30,50,20,0,LOND,FALSE
10007776,Roehampton University,1520,D,33,Theology and Religious Studies, ,,,Environment,6.8,0,20,80,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,33,Theology and Religious Studies, ,,,Overall,6.8,16,27,45,12,0,LOND,FALSE
10007776,Roehampton University,1520,D,35,"Music, Drama, Dance and Performing Arts",A,Dance,,Outputs,11.8,61.4,29.5,6.8,2.3,0,LOND,FALSE
10007776,Roehampton University,1520,D,35,"Music, Drama, Dance and Performing Arts",A,Dance,,Impact,11.8,60,40,0,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,35,"Music, Drama, Dance and Performing Arts",A,Dance,,Environment,11.8,70,30,0,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,35,"Music, Drama, Dance and Performing Arts",A,Dance,,Overall,11.8,62,32,5,1,0,LOND,FALSE
10007776,Roehampton University,1520,D,35,"Music, Drama, Dance and Performing Arts",B,Drama Theatre and Performance,,Outputs,11.5,22.7,47.8,27.2,2.3,0,LOND,FALSE
10007776,Roehampton University,1520,D,35,"Music, Drama, Dance and Performing Arts",B,Drama Theatre and Performance,,Impact,11.5,40,60,0,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,35,"Music, Drama, Dance and Performing Arts",B,Drama Theatre and Performance,,Environment,11.5,10,90,0,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,35,"Music, Drama, Dance and Performing Arts",B,Drama Theatre and Performance,,Overall,11.5,24,57,18,1,0,LOND,FALSE
10007776,Roehampton University,1520,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,14,22.9,31.3,27,18.8,0,LOND,FALSE
10007776,Roehampton University,1520,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Impact,14,40,20,40,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Environment,14,40,50,10,0,0,LOND,FALSE
10007776,Roehampton University,1520,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,14,29,32,27,12,0,LOND,FALSE
10005523,Rose Bruford College,1530,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,5.9,10.7,42.9,25,14.3,7.1,LOND,FALSE
10005523,Rose Bruford College,1530,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,5.9,0,50,50,0,0,LOND,FALSE
10005523,Rose Bruford College,1530,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,5.9,0,30,20,40,10,LOND,FALSE
10005523,Rose Bruford College,1530,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,5.9,7,42,30,15,6,LOND,FALSE
10007835,Royal Academy of Music,1540,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,13.9,22.9,38.5,31.5,4.2,2.9,LOND,FALSE
10007835,Royal Academy of Music,1540,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,13.9,30,30,40,0,0,LOND,FALSE
10007835,Royal Academy of Music,1540,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,13.9,0,60,40,0,0,LOND,FALSE
10007835,Royal Academy of Music,1540,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,13.9,21,40,34,3,2,LOND,FALSE
10005545,Royal Agricultural University,1550,A,6,"Agriculture, Veterinary and Food Science", ,,,Outputs,12,4.3,6.3,42.6,34,12.8,SWES,TRUE
10005545,Royal Agricultural University,1550,A,6,"Agriculture, Veterinary and Food Science", ,,,Impact,12,0,0,20,40,40,SWES,TRUE
10005545,Royal Agricultural University,1550,A,6,"Agriculture, Veterinary and Food Science", ,,,Environment,12,0,0,50,50,0,SWES,TRUE
10005545,Royal Agricultural University,1550,A,6,"Agriculture, Veterinary and Food Science", ,,,Overall,12,3,4,39,38,16,SWES,TRUE
10007816,Royal Central School of Speech and Drama,1560,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,21.25,26.7,31.1,34.4,6.7,1.1,LOND,FALSE
10007816,Royal Central School of Speech and Drama,1560,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,21.25,86.7,13.3,0,0,0,LOND,FALSE
10007816,Royal Central School of Speech and Drama,1560,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,21.25,30,50,20,0,0,LOND,FALSE
10007816,Royal Central School of Speech and Drama,1560,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,21.25,39,31,25,4,1,LOND,FALSE
10007777,Royal College of Art,1565,D,34,"Art and Design: History, Practice and Theory", ,,,Outputs,59.55,22,42.2,26.8,8.7,0.3,LOND,FALSE
10007777,Royal College of Art,1565,D,34,"Art and Design: History, Practice and Theory", ,,,Impact,59.55,54.3,45.7,0,0,0,LOND,FALSE
10007777,Royal College of Art,1565,D,34,"Art and Design: History, Practice and Theory", ,,,Environment,59.55,80,20,0,0,0,LOND,FALSE
10007777,Royal College of Art,1565,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,59.55,37,40,17,6,0,LOND,FALSE
10007778,Royal College of Music,1570,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,14.4,25,38.2,28.9,6.6,1.3,LOND,FALSE
10007778,Royal College of Music,1570,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,14.4,90,10,0,0,0,LOND,FALSE
10007778,Royal College of Music,1570,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,14.4,0,80,20,0,0,LOND,FALSE
10007778,Royal College of Music,1570,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,14.4,34,39,22,4,1,LOND,FALSE
10005553,"Royal Holloway, University of London",1580,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Outputs,23.25,41.5,47.5,11,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Impact,23.25,73.3,26.7,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Environment,23.25,62.5,37.5,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,23.25,51,42,7,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,A,5,Biological Sciences, ,,,Outputs,24,18.5,58,21,2.5,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,A,5,Biological Sciences, ,,,Impact,24,13.3,60,26.7,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,A,5,Biological Sciences, ,,,Environment,24,0,75,25,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,A,5,Biological Sciences, ,,,Overall,24,15,61,22,2,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,7,Earth Systems and Environmental Sciences, ,,,Outputs,24.95,19.2,71.7,9.1,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,7,Earth Systems and Environmental Sciences, ,,,Impact,24.95,46.7,53.3,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,7,Earth Systems and Environmental Sciences, ,,,Environment,24.95,25,75,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,7,Earth Systems and Environmental Sciences, ,,,Overall,24.95,26,68,6,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,9,Physics, ,,,Outputs,24.9,17.8,66.4,15.8,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,9,Physics, ,,,Impact,24.9,13.3,73.4,13.3,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,9,Physics, ,,,Environment,24.9,0,90,10,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,9,Physics, ,,,Overall,24.9,14,72,14,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,10,Mathematical Sciences, ,,,Outputs,14,10.7,78.6,10.7,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,10,Mathematical Sciences, ,,,Impact,14,80,20,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,10,Mathematical Sciences, ,,,Environment,14,0,85,15,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,10,Mathematical Sciences, ,,,Overall,14,23,68,9,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,11,Computer Science and Informatics, ,,,Outputs,24.45,32.2,54.5,12.2,0,1.1,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,11,Computer Science and Informatics, ,,,Impact,24.45,40,13.3,26.7,20,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,11,Computer Science and Informatics, ,,,Environment,24.45,10,90,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,B,11,Computer Science and Informatics, ,,,Overall,24.45,30,52,13,4,1,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,17,"Geography, Environmental Studies and Archaeology", ,,,Outputs,23.7,26.7,51.1,21.1,1.1,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,17,"Geography, Environmental Studies and Archaeology", ,,,Impact,23.7,60,40,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,17,"Geography, Environmental Studies and Archaeology", ,,,Environment,23.7,75,25,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,23.7,41,45,13,1,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,18,Economics and Econometrics, ,,,Outputs,14.4,35.3,45.1,15.7,1.9,2,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,18,Economics and Econometrics, ,,,Impact,14.4,60,20,20,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,18,Economics and Econometrics, ,,,Environment,14.4,0,75,25,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,18,Economics and Econometrics, ,,,Overall,14.4,35,45,17,2,1,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,19,Business and Management Studies, ,,,Outputs,41.85,23.8,50,23.2,3,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,19,Business and Management Studies, ,,,Impact,41.85,32,42,26,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,19,Business and Management Studies, ,,,Environment,41.85,12.5,62.5,25,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,19,Business and Management Studies, ,,,Overall,41.85,24,50,24,2,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,21,Politics and International Studies, ,,,Outputs,23.8,10.8,56.7,27.7,4.8,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,21,Politics and International Studies, ,,,Impact,23.8,26.7,50,23.3,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,21,Politics and International Studies, ,,,Environment,23.8,0,87.5,12.5,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,C,21,Politics and International Studies, ,,,Overall,23.8,12,60,25,3,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,28,Modern Languages and Linguistics, ,,,Outputs,24.5,29.9,39.1,28.7,2.3,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,28,Modern Languages and Linguistics, ,,,Impact,24.5,50,50,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,28,Modern Languages and Linguistics, ,,,Environment,24.5,30,70,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,28,Modern Languages and Linguistics, ,,,Overall,24.5,34,46,19,1,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,29,English Language and Literature, ,,,Outputs,25.7,32.6,34.8,30.4,2.2,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,29,English Language and Literature, ,,,Impact,25.7,40,50,10,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,29,English Language and Literature, ,,,Environment,25.7,90,10,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,29,English Language and Literature, ,,,Overall,25.7,43,34,22,1,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,30,History, ,,,Outputs,32.3,17.6,39.2,40.8,1.6,0.8,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,30,History, ,,,Impact,32.3,50,50,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,30,History, ,,,Environment,32.3,60,40,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,30,History, ,,,Overall,32.3,30,42,26,1,1,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,31,Classics, ,,,Outputs,9.4,18.2,39.4,33.3,9.1,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,31,Classics, ,,,Impact,9.4,0,40,60,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,31,Classics, ,,,Environment,9.4,0,60,40,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,31,Classics, ,,,Overall,9.4,12,42,40,6,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,35,"Music, Drama, Dance and Performing Arts",A,Drama and theatre,,Outputs,15.33,33.3,45.6,19.3,0,1.8,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,35,"Music, Drama, Dance and Performing Arts",A,Drama and theatre,,Impact,15.33,23.3,76.7,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,35,"Music, Drama, Dance and Performing Arts",A,Drama and theatre,,Environment,15.33,80,20,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,35,"Music, Drama, Dance and Performing Arts",A,Drama and theatre,,Overall,15.33,38,48,13,0,1,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,35,"Music, Drama, Dance and Performing Arts",B,Music,,Outputs,18.4,43.8,41.1,9.6,1.4,4.1,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,35,"Music, Drama, Dance and Performing Arts",B,Music,,Impact,18.4,13.3,86.7,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,35,"Music, Drama, Dance and Performing Arts",B,Music,,Environment,18.4,80,20,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,35,"Music, Drama, Dance and Performing Arts",B,Music,,Overall,18.4,43,47,6,1,3,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Outputs,13.2,40,33.3,24.5,2.2,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Impact,13.2,40,60,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Environment,13.2,70,30,0,0,0,SEAS,FALSE
10005553,"Royal Holloway, University of London",1580,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,13.2,45,38,16,1,0,SEAS,FALSE
10007837,Royal Northern College of Music,1590,D,35,"Music, Drama, Dance and Performing Arts", ,,,Outputs,10.78,22.8,43.9,28,5.3,0,NWES,FALSE
10007837,Royal Northern College of Music,1590,D,35,"Music, Drama, Dance and Performing Arts", ,,,Impact,10.78,100,0,0,0,0,NWES,FALSE
10007837,Royal Northern College of Music,1590,D,35,"Music, Drama, Dance and Performing Arts", ,,,Environment,10.78,10,70,20,0,0,NWES,FALSE
10007837,Royal Northern College of Music,1590,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,10.78,36,39,22,3,0,NWES,FALSE
10007779,Royal Veterinary College,1610,A,6,"Agriculture, Veterinary and Food Science", ,,,Outputs,103.49,17.4,55.3,24.2,3.1,0,LOND,FALSE
10007779,Royal Veterinary College,1610,A,6,"Agriculture, Veterinary and Food Science", ,,,Impact,103.49,63.6,21.9,10.9,3.6,0,LOND,FALSE
10007779,Royal Veterinary College,1610,A,6,"Agriculture, Veterinary and Food Science", ,,,Environment,103.49,75,25,0,0,0,LOND,FALSE
10007779,Royal Veterinary College,1610,A,6,"Agriculture, Veterinary and Food Science", ,,,Overall,103.49,35,44,18,3,0,LOND,FALSE
10007782,"St.George's, University of London",1620,A,1,Clinical Medicine, ,,,Outputs,44.1,23.1,45,31.3,0.6,0,LOND,FALSE
10007782,"St.George's, University of London",1620,A,1,Clinical Medicine, ,,,Impact,44.1,72,18,10,0,0,LOND,FALSE
10007782,"St.George's, University of London",1620,A,1,Clinical Medicine, ,,,Environment,44.1,0,25,75,0,0,LOND,FALSE
10007782,"St.George's, University of London",1620,A,1,Clinical Medicine, ,,,Overall,44.1,29,37,34,0,0,LOND,FALSE
10007782,"St.George's, University of London",1620,A,2,"Public Health, Health Services and Primary Care", ,,,Outputs,11.57,24.4,58.5,14.7,2.4,0,LOND,FALSE
10007782,"St.George's, University of London",1620,A,2,"Public Health, Health Services and Primary Care", ,,,Impact,11.57,80,10,10,0,0,LOND,FALSE
10007782,"St.George's, University of London",1620,A,2,"Public Health, Health Services and Primary Care", ,,,Environment,11.57,0,87.5,12.5,0,0,LOND,FALSE
10007782,"St.George's, University of London",1620,A,2,"Public Health, Health Services and Primary Care", ,,,Overall,11.57,32,53,13,2,0,LOND,FALSE
10007843,"St Mary's University, Twickenham",1630,C,25,Education, ,,,Outputs,11.96,10.3,13.8,20.7,41.4,13.8,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,C,25,Education, ,,,Impact,11.96,0,0,50,50,0,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,C,25,Education, ,,,Environment,11.96,0,0,0,75,25,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,C,25,Education, ,,,Overall,11.96,7,9,23,48,13,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Outputs,7.1,22.7,27.3,27.3,22.7,0,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Impact,7.1,0,10,50,40,0,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Environment,7.1,0,0,75,25,0,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,7.1,15,20,38,27,0,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,D,29,English Language and Literature, ,,,Outputs,7.5,27.8,33.3,33.3,5.6,0,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,D,29,English Language and Literature, ,,,Impact,7.5,0,0,20,80,0,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,D,29,English Language and Literature, ,,,Environment,7.5,0,0,50,40,10,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,D,29,English Language and Literature, ,,,Overall,7.5,18,22,33,26,1,LOND,TRUE
10007843,"St Mary's University, Twickenham",1630,D,30,History, ,,,Outputs,4,18.8,31.2,31.3,12.5,6.2,LOND,TRUE
